Time,Temperature,Humidity,Ultraviolet,Ambient,CPU
 18:46:08,77.5,35.4,1,8,52.6
 18:46:09,77.5,35.4,1,8,52.6
 18:46:11,77.4,36.0,1,8,52.6
 18:46:12,77.4,36.0,1,8,52.6
 18:46:13,77.4,36.0,1,8,52.6
 18:46:14,77.4,36.0,1,7,52.6
 18:46:16,77.4,36.0,1,7,52.1
 18:46:17,77.4,36.0,1,7,52.6
 18:46:18,77.4,35.8,0,101,52.6
 18:46:19,77.4,35.8,1,194,52.6
 18:46:20,77.4,35.6,1,203,52.1
 18:46:21,77.4,35.6,1,202,52.1
 18:46:23,77.4,36.0,1,202,52.6
 18:46:24,77.4,36.0,1,202,53.2
 18:46:25,77.4,36.3,1,12,52.6
 18:46:26,77.4,36.3,1,12,53.2
 18:46:28,77.5,36.6,1,12,52.6
 18:46:29,77.5,36.6,1,7,52.1
 18:46:30,77.4,36.4,1,168,52.6
 18:46:31,77.4,36.4,1,167,52.6
 18:46:32,77.4,36.1,1,158,52.6
 18:46:33,77.4,36.1,0,84,52.6
 18:46:35,77.5,36.3,0,109,52.6
 18:46:36,77.5,36.3,0,105,53.2
